화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
8736,15,202606,9142,28896,739,198,172,141,55,부안군,323,605,29824,전북,64,265,916,103,19293,19568,128,113
5380,10,202606,5544,17266,374,80,84,101,21,순창군,243,187,17696,전북,58,63,451,74,11463,11621,49,19
12496,30,202606,15130,63189,1472,527,227,219,227,완주군,495,3283,66967,전북,110,2415,1996,136,48951,49314,270,414
24043,18,202606,27402,145711,3508,944,1799,213,422,익산시,571,5849,152131,전북,133,3146,4123,207,117656,119662,504,482
4938,9,202606,5337,15495,389,97,54,121,23,임실군,275,420,16190,전북,61,278,515,84,10103,10241,65,65
4529,7,202606,4736,13449,311,86,33,114,23,장수군,241,170,13860,전북,42,93,374,78,8553,8664,56,21
18729,13,202606,21505,171719,3050,1008,2974,151,402,전주시 덕진구,424,6919,179062,전북,94,2625,4062,166,149347,152487,593,918
15413,21,202606,17214,154669,2735,674,1974,209,258,전주시 완산구,799,4372,159840,전북,217,1592,3500,352,136126,138452,395,548
14942,10,202606,16023,59255,1456,413,633,165,122,정읍시,396,1868,61519,전북,106,916,1759,115,42576,43324,281,197
5082,18,202606,5297,15783,385,97,68,113,15,진안군,302,279,16364,전북,50,102,529,121,10252,10441,64,94
175068,229,202606,194317,970169,21224,6474,11000,2358,2622,계,6031,34346,1010546,전북,1332,16891,26389,2112,770254,783366,3623,3833
