stat_month,region_level,sido_name,sigungu_name,vehicle_type,use_type,registration_count,unit,source_measure_key,source_form_id,source_row_no,is_aggregate
202604,시군구,서울,동대문구,truck,official,136,대,화물>관용,5498,11,0
202604,시군구,서울,동대문구,special,business,95,대,특수>영업용,5498,11,0
202604,시군구,서울,동대문구,total,official,322,대,총계>관용,5498,11,1
202604,시군구,서울,동대문구,total,business,5218,대,총계>영업용,5498,11,1
202604,시군구,서울,동대문구,total,total,106826,대,총계>계,5498,11,1
202604,시군구,서울,동대문구,van,official,62,대,승합>관용,5498,11,0
202604,시군구,서울,동대문구,truck,business,2229,대,화물>영업용,5498,11,0
202604,시군구,서울,동대문구,van,total,2422,대,승합>계,5498,11,1
202604,시군구,서울,동대문구,passenger,official,109,대,승용>관용,5498,11,0
202604,시군구,서울,동대문구,passenger,private,89447,대,승용>자가용,5498,11,0
202604,시군구,서울,동대문구,passenger,total,92321,대,승용>계,5498,11,1
202604,시군구,서울,동대문구,special,private,214,대,특수>자가용,5498,11,0
202604,시군구,서울,동대문구,van,business,129,대,승합>영업용,5498,11,0
202604,시군구,서울,동작구,truck,private,6128,대,화물>자가용,5498,12,0
202604,시군구,서울,동작구,special,official,17,대,특수>관용,5498,12,0
202604,시군구,서울,동작구,truck,total,7363,대,화물>계,5498,12,1
202604,시군구,서울,동작구,total,private,101865,대,총계>자가용,5498,12,1
202604,시군구,서울,동작구,van,private,1943,대,승합>자가용,5498,12,0
202604,시군구,서울,동작구,special,total,344,대,특수>계,5498,12,1
202604,시군구,서울,동작구,passenger,business,1268,대,승용>영업용,5498,12,0
202604,시군구,서울,동작구,truck,official,136,대,화물>관용,5498,12,0
202604,시군구,서울,동작구,special,business,173,대,특수>영업용,5498,12,0
202604,시군구,서울,동작구,total,official,321,대,총계>관용,5498,12,1
202604,시군구,서울,동작구,total,business,2669,대,총계>영업용,5498,12,1
202604,시군구,서울,동작구,total,total,104855,대,총계>계,5498,12,1
202604,시군구,서울,동작구,van,official,44,대,승합>관용,5498,12,0
202604,시군구,서울,동작구,truck,business,1099,대,화물>영업용,5498,12,0
202604,시군구,서울,동작구,van,total,2116,대,승합>계,5498,12,1
